train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,3,13,True,True
increasing,3,14,True,True
increasing,3,15,True,True
increasing,3,16,True,True
increasing,3,17,True,True
increasing,3,18,True,True
increasing,3,19,True,True
increasing,3,20,True,True
increasing,3,21,True,True
increasing,3,22,True,True
increasing,3,23,True,True
increasing,3,24,True,True
increasing,3,25,True,True
increasing,3,26,True,True
increasing,3,27,True,True
increasing,3,28,True,True
increasing,3,29,True,True
increasing,3,30,True,True
increasing,3,31,True,True
increasing,3,32,True,True
increasing,3,33,True,True
increasing,3,34,True,True
increasing,3,35,True,True
increasing,3,36,True,True
increasing,3,37,True,True
increasing,3,38,True,True
increasing,3,39,True,True
increasing,3,40,True,True
increasing,3,41,True,True
increasing,3,42,True,True
increasing,3,43,True,True
increasing,3,44,True,True
increasing,3,45,True,True
increasing,3,46,True,True
increasing,3,47,True,True
increasing,3,48,True,True
increasing,3,49,True,True
increasing,4,0,True,True
increasing,4,1,True,True
increasing,4,2,True,True
increasing,4,3,True,True
increasing,4,4,True,True
increasing,4,5,True,True
increasing,4,6,True,True
increasing,4,7,True,True
increasing,4,8,True,True
increasing,4,9,True,True
increasing,4,10,True,True
increasing,4,11,True,True
increasing,4,12,True,True
increasing,4,13,True,True
increasing,4,14,True,True
increasing,4,15,True,True
increasing,4,16,True,True
increasing,4,17,True,True
increasing,4,18,True,True
increasing,4,19,True,True
increasing,4,20,True,True
increasing,4,21,True,True
increasing,4,22,True,True
increasing,4,23,True,True
increasing,4,24,True,True
increasing,4,25,True,True
increasing,4,26,True,True
increasing,4,27,True,True
increasing,4,28,True,True
increasing,4,29,True,True
increasing,4,30,True,True
increasing,4,31,True,True
increasing,4,32,True,True
increasing,4,33,True,True
increasing,4,34,True,True
increasing,4,35,True,True
increasing,4,36,True,True
increasing,4,37,True,True
increasing,4,38,True,True
increasing,4,39,True,True
increasing,4,40,True,True
increasing,4,41,True,True
increasing,4,42,True,True
increasing,4,43,True,True
increasing,4,44,True,True
increasing,4,45,True,True
increasing,4,46,True,True
increasing,4,47,True,True
increasing,4,48,True,True
increasing,5,0,True,True
increasing,5,1,True,True
increasing,5,2,True,True
increasing,5,3,True,True
increasing,5,4,True,True
increasing,5,5,True,True
increasing,5,6,True,True
increasing,5,7,True,True
increasing,5,8,True,True
increasing,5,9,True,True
increasing,5,10,True,True
increasing,5,11,True,True
increasing,5,12,True,True
increasing,5,13,True,True
increasing,5,14,True,True
increasing,5,15,True,True
increasing,5,16,True,True
increasing,5,17,True,True
increasing,5,18,True,True
increasing,5,19,True,True
increasing,5,20,True,True
increasing,5,21,True,True
increasing,5,22,True,True
increasing,5,23,True,True
increasing,5,24,True,True
increasing,5,25,True,True
